,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,
"Subject: Marital Status, Marriages and Divorces",,,,,,,,,,,,,,,
Topic: Total Marriages,,,,,,,,,,,,,,,
"Table Title: Key Indicators On Marriages, Annual",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data last updated: 26/07/2023,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Series,Total Marriages ,Total Marriages -> First Marriages ,Total Marriages -> Remarriages ,Total Marriages -> Remarriages -> Remarriages - One Partner ,Total Marriages -> Remarriages -> Remarriages - Both Partners ,Resident Marriages ,Proportion Of First Marriages - Grooms ,Proportion Of First Marriages - Brides ,Proportion Of Grooms Aged Below 21 Years ,"Proportion Of Grooms Aged Below 21 Years -> Under The Women's Charter ",Proportion Of Grooms Aged Below 21 Years -> Under The Administration Of Muslim Law Act ,Proportion Of Brides Aged Below 21 Years ,"Proportion Of Brides Aged Below 21 Years -> Under The Women's Charter ",Proportion Of Brides Aged Below 21 Years -> Under The Administration Of Muslim Law Act ,Proportion Of Inter-Ethnic Marriages 
  1973,24961,24226,735,579,156,na,97.9,98.5,na,na,na,na,na,na,na
  1972,17816,17133,683,547,136,na,97.4,98,na,na,na,na,na,na,na
  1971,15159,14490,669,522,147,na,96.9,97.8,na,na,na,na,na,na,na
  1970,14572,13889,683,533,150,na,96.9,97.4,na,na,na,na,na,na,na
  1969,12629,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  1968,11552,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  1967,10960,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  1966,10226,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  1965,8993,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  1964,7810,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  1963,7056,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  1962,6044,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  1961,5224,na,na,na,na,na,na,na,na,na,na,na,na,na,na
,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,
Total Marriages (Number):,,,,,,,,,,,,,,,
"Total may include marriages where the previous marital status of groom or brides were not reported. Previous marital status refers to a person's marital status prior to the current marriage.",,,,,,,,,,,,,,,
Total Marriages -> First Marriages (Number):,,,,,,,,,,,,,,,
Refer to marriages where neither party had previously been married.,,,,,,,,,,,,,,,
Total Marriages -> Remarriages (Number):,,,,,,,,,,,,,,,
Refer to marriages where either or both parties had previously been married.,,,,,,,,,,,,,,,
Total Marriages -> Remarriages -> Remarriages - One Partner (Number):,,,,,,,,,,,,,,,
Refer to marriages where either party had previously been married.,,,,,,,,,,,,,,,
Total Marriages -> Remarriages -> Remarriages - Both Partners (Number):,,,,,,,,,,,,,,,
Refer to marriages where both parties had previously been married.,,,,,,,,,,,,,,,
Resident Marriages (Number):,,,,,,,,,,,,,,,
Resident marriages refer to marriages where either or both the grooms and brides are residents.,,,,,,,,,,,,,,,
Proportion Of First Marriages - Grooms (Per Cent):,,,,,,,,,,,,,,,
Refer to grooms who had not previously been married as a proportion of all grooms.,,,,,,,,,,,,,,,
Proportion Of First Marriages - Brides (Per Cent):,,,,,,,,,,,,,,,
Refer to brides who had not previously been married as a proportion of all brides.,,,,,,,,,,,,,,,
Proportion Of Inter-Ethnic Marriages (Per Cent):,,,,,,,,,,,,,,,
Data on inter-ethnic marriages have been updated in 2023 to include only marriages where both parties are of different CMIO group.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,
Marriages:,,,,,,,,,,,,,,,
"Total marriages comprise civil marriages registered under the Women's Charter and Muslim marriages registered under the Administration of Muslim Law Act. Data exclude civil marriages which were contracted overseas or under religious and customary rites, and were subsequently registered in Singapore in the reference year.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,
Date generated: 17/05/2024,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,
